main_app-1  | 2026-07-15 09:41:42,420 - bot.handlers - INFO - Callback received - User: 1336308262, Data: back_to_main
main_app-1  | 2026-07-15 09:41:42,472 - bot.handlers - INFO - Main menu successfully displayed for user 1336308262
main_app-1  | 2026-07-15 09:41:51,250 - bot.handlers - INFO - Callback received - User: 1336308262, Data: main_overdue
main_app-1  | 2026-07-15 09:41:52,359 - bot.handlers - INFO - Callback received - User: 1336308262, Data: overdue_channel_@furryukrainecult
main_app-1  | 2026-07-15 09:41:53,479 - bot.handlers - INFO - Callback received - User: 1336308262, Data: overdue_post_channel_@furryukrainecult
main_app-1  | 2026-07-15 09:41:53,479 - telegram.ext.Application - ERROR - No error handlers are registered, logging exception.
main_app-1  | Traceback (most recent call last):
main_app-1  |   File "/usr/local/lib/python3.12/site-packages/telegram/ext/_application.py", line 1311, in process_update
main_app-1  |     await coroutine
main_app-1  |   File "/usr/local/lib/python3.12/site-packages/telegram/ext/_handlers/basehandler.py", line 158, in handle_update
main_app-1  |     return await self.callback(update, context)
main_app-1  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
main_app-1  |   File "/app/bot/handlers.py", line 1774, in callback_query_handler
main_app-1  |     await handle_overdue_callback(query, user, data)
main_app-1  |   File "/app/bot/handlers.py", line 9175, in handle_overdue_callback
main_app-1  |     post_id = int(action.replace("post_", ""))
main_app-1  |               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
main_app-1  | ValueError: invalid literal for int() with base 10: 'channel_@furryukrainecult'
main_app-1  | 2026-07-15 09:42:00,864 - bot.handlers - INFO - Callback received - User: 1336308262, Data: overdue_post_5600
main_app-1  | 2026-07-15 09:42:00,882 - bot.handlers - WARNING - Using fallback scheduler instance for individual overdue posting
main_app-1  | 2026-07-15 09:42:01,884 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:43:11,967 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:48:11 EEST)" (scheduled at 2026-07-15 12:43:11.963649+03:00)
main_app-1  | 2026-07-15 09:43:11,968 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:43:11,974 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:43:11,975 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:43:11,976 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:43:11,976 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:43:21.976117+03:00
main_app-1  | 2026-07-15 09:43:11,979 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:43:21.976117+03:00
main_app-1  | 2026-07-15 09:43:12,156 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
